"","V1","V2","V3"
"1",-506.56872045869,0.001,0.001
"2",-506.56872045869,1.251,0.001
"3",-506.56872045869,2.501,0.001
"4",-506.56872045869,3.751,0.001
"5",-506.56872045869,5.001,0.001
"6",-506.56872045869,6.251,0.001
"7",-506.56872045869,7.501,0.001
"8",-506.56872045869,8.751,0.001
"9",-506.56872045869,10.001,0.001
"10",-506.56872045869,11.251,0.001
"11",-506.56872045869,12.501,0.001
"12",-506.56872045869,13.751,0.001
"13",-506.56872045869,15.001,0.001
"14",-506.56872045869,16.251,0.001
"15",-506.56872045869,17.501,0.001
"16",-506.56872045869,18.751,0.001
"17",-506.56872045869,0.001,0.03225
"18",-506.56872045869,1.251,0.03225
"19",-506.56872045869,2.501,0.03225
"20",-506.56872045869,3.751,0.03225
"21",-506.56872045869,5.001,0.03225
"22",-506.56872045869,6.251,0.03225
"23",-506.56872045869,7.501,0.03225
"24",-287.211144140883,8.751,0.03225
"25",-276.490274529444,10.001,0.03225
"26",-246.901756275753,11.251,0.03225
"27",-235.523369923102,12.501,0.03225
"28",-233.788987534796,13.751,0.03225
"29",-240.024839993548,15.001,0.03225
"30",-250.453941556727,16.251,0.03225
"31",-264.309440319869,17.501,0.03225
"32",-279.598712219775,18.751,0.03225
"33",-506.56872045869,0.001,0.0635
"34",-506.56872045869,1.251,0.0635
"35",-506.56872045869,2.501,0.0635
"36",-389.886290385573,3.751,0.0635
"37",-279.091901078257,5.001,0.0635
"38",-238.395680473008,6.251,0.0635
"39",-238.142318050806,7.501,0.0635
"40",-263.271053166016,8.751,0.0635
"41",-288.655595494514,10.001,0.0635
"42",-317.533350256665,11.251,0.0635
"43",-351.473971747186,12.501,0.0635
"44",-381.016009031247,13.751,0.0635
"45",-402.772723240851,15.001,0.0635
"46",-426.0868554601,16.251,0.0635
"47",-437.927487644558,17.501,0.0635
"48",-448.8530359589,18.751,0.0635
"49",-506.56872045869,0.001,0.09475
"50",-506.56872045869,1.251,0.09475
"51",-506.56872045869,2.501,0.09475
"52",-253.900321093296,3.751,0.09475
"53",-238.358090148389,5.001,0.09475
"54",-276.456659733216,6.251,0.09475
"55",-315.77275774984,7.501,0.09475
"56",-367.856142859343,8.751,0.09475
"57",-400.328605757799,10.001,0.09475
"58",-428.51463914364,11.251,0.09475
"59",-447.229920214887,12.501,0.09475
"60",-462.785218808377,13.751,0.09475
"61",-469.162678404503,15.001,0.09475
"62",-478.243086569616,16.251,0.09475
"63",-480.664070511339,17.501,0.09475
"64",-482.931104368908,18.751,0.09475
"65",-506.56872045869,0.001,0.126
"66",-506.56872045869,1.251,0.126
"67",-294.255475289281,2.501,0.126
"68",-238.4698625761,3.751,0.126
"69",-287.146645976257,5.001,0.126
"70",-349.176617233643,6.251,0.126
"71",-398.301385617676,7.501,0.126
"72",-434.729946861247,8.751,0.126
"73",-455.263714073367,10.001,0.126
"74",-468.148036368731,11.251,0.126
"75",-481.168395753958,12.501,0.126
"76",-480.979766036735,13.751,0.126
"77",-484.150400888195,15.001,0.126
"78",-486.808403095675,16.251,0.126
"79",-487.126390261181,17.501,0.126
"80",-487.15828349012,18.751,0.126
"81",-506.56872045869,0.001,0.15725
"82",-506.56872045869,1.251,0.15725
"83",-240.48028723113,2.501,0.15725
"84",-276.665565678316,3.751,0.15725
"85",-348.365661985768,5.001,0.15725
"86",-406.638113588794,6.251,0.15725
"87",-449.205232115072,7.501,0.15725
"88",-464.445719641721,8.751,0.15725
"89",-479.272953729077,10.001,0.15725
"90",-480.524401383166,11.251,0.15725
"91",-484.118353168421,12.501,0.15725
"92",-488.825439525731,13.751,0.15725
"93",-486.375451443289,15.001,0.15725
"94",-486.498873848827,16.251,0.15725
"95",-487.007497148852,17.501,0.15725
"96",-487.81979963833,18.751,0.15725
"97",-506.56872045869,0.001,0.1885
"98",-396.157072017349,1.251,0.1885
"99",-239.136758603561,2.501,0.1885
"100",-315.050746837279,3.751,0.1885
"101",-395.125426086349,5.001,0.1885
"102",-445.005025406136,6.251,0.1885
"103",-466.543036629733,7.501,0.1885
"104",-477.143909568916,8.751,0.1885
"105",-481.388696536505,10.001,0.1885
"106",-485.704775015961,11.251,0.1885
"107",-485.475667081104,12.501,0.1885
"108",-485.803717077942,13.751,0.1885
"109",-486.401636543971,15.001,0.1885
"110",-487.798485201815,16.251,0.1885
"111",-489.572192268432,17.501,0.1885
"112",-491.591135546062,18.751,0.1885
"113",-506.56872045869,0.001,0.21975
"114",-342.850880005466,1.251,0.21975
"115",-263.505734981578,2.501,0.21975
"116",-362.794691532824,3.751,0.21975
"117",-428.956839111948,5.001,0.21975
"118",-463.454328916668,6.251,0.21975
"119",-475.706179761366,7.501,0.21975
"120",-480.722837950553,8.751,0.21975
"121",-486.819042154638,10.001,0.21975
"122",-484.753315881082,11.251,0.21975
"123",-485.286090328828,12.501,0.21975
"124",-486.609068565472,13.751,0.21975
"125",-488.617951321192,15.001,0.21975
"126",-491.032174382556,16.251,0.21975
"127",-493.657873538951,17.501,0.21975
"128",-496.371541222047,18.751,0.21975
"129",-506.56872045869,0.001,0.251
"130",-306.326561734695,1.251,0.251
"131",-286.199081389033,2.501,0.251
"132",-391.61531082019,3.751,0.251
"133",-449.059726631533,5.001,0.251
"134",-473.039767480658,6.251,0.251
"135",-478.802515654066,7.501,0.251
"136",-484.673128301599,8.751,0.251
"137",-483.9078205583,10.001,0.251
"138",-484.844090287011,11.251,0.251
"139",-486.529033992099,12.501,0.251
"140",-488.947839148642,13.751,0.251
"141",-491.992098738968,15.001,0.251
"142",-495.150720656771,16.251,0.251
"143",-497.897807777158,17.501,0.251
"144",-500.720478650773,18.751,0.251
"145",-506.56872045869,0.001,0.28225
"146",-263.657749411468,1.251,0.28225
"147",-313.032999016071,2.501,0.28225
"148",-417.151885475195,3.751,0.28225
"149",-462.657569642789,5.001,0.28225
"150",-475.379173386725,6.251,0.28225
"151",-481.465766559809,7.501,0.28225
"152",-482.976930973777,8.751,0.28225
"153",-483.911899612057,10.001,0.28225
"154",-486.037431022695,11.251,0.28225
"155",-488.885275240275,12.501,0.28225
"156",-491.987589623158,13.751,0.28225
"157",-495.532396233224,15.001,0.28225
"158",-498.224545131684,16.251,0.28225
"159",-500.955856968136,17.501,0.28225
"160",-503.186340210614,18.751,0.28225
"161",-506.56872045869,0.001,0.3135
"162",-247.176138761131,1.251,0.3135
"163",-341.924793751383,2.501,0.3135
"164",-440.257937747246,3.751,0.3135
"165",-473.676795579464,5.001,0.3135
"166",-477.403489579937,6.251,0.3135
"167",-482.01469012907,7.501,0.3135
"168",-482.737066285927,8.751,0.3135
"169",-484.728328756282,10.001,0.3135
"170",-487.853625308251,11.251,0.3135
"171",-491.354424821226,12.501,0.3135
"172",-494.8353166027,13.751,0.3135
"173",-498.06611845716,15.001,0.3135
"174",-500.43185305647,16.251,0.3135
"175",-502.554990293125,17.501,0.3135
"176",-504.333842919727,18.751,0.3135
"177",-506.56872045869,0.001,0.34475
"178",-240.023815583549,1.251,0.34475
"179",-368.140379108593,2.501,0.34475
"180",-449.108159772959,3.751,0.34475
"181",-472.132822449424,5.001,0.34475
"182",-479.242042479829,6.251,0.34475
"183",-481.408310665383,7.501,0.34475
"184",-483.091215548025,8.751,0.34475
"185",-486.281088699844,10.001,0.34475
"186",-489.940129991291,11.251,0.34475
"187",-493.557945096996,12.501,0.34475
"188",-496.641082451641,13.751,0.34475
"189",-499.442734127738,15.001,0.34475
"190",-501.443412988582,16.251,0.34475
"191",-503.184420580388,17.501,0.34475
"192",-504.433335749761,18.751,0.34475
"193",-506.56872045869,0.001,0.376
"194",-242.819293272434,1.251,0.376
"195",-384.898177091303,2.501,0.376
"196",-462.089004769811,3.751,0.376
"197",-473.39785011392,5.001,0.376
"198",-483.99234525791,6.251,0.376
"199",-481.277870895095,7.501,0.376
"200",-484.073757849887,8.751,0.376
"201",-487.835481572559,10.001,0.376
"202",-491.575522653969,11.251,0.376
"203",-494.967400725856,12.501,0.376
"204",-497.740317451392,13.751,0.376
"205",-500.068859234301,15.001,0.376
"206",-501.626768288029,16.251,0.376
"207",-502.997995613659,17.501,0.376
"208",-503.950370696023,18.751,0.376
"209",-506.56872045869,0.001,0.40725
"210",-256.003801160788,1.251,0.40725
"211",-399.244419248759,2.501,0.40725
"212",-469.151211314823,3.751,0.40725
"213",-474.483165389947,5.001,0.40725
"214",-479.454069949642,6.251,0.40725
"215",-481.508060610311,7.501,0.40725
"216",-485.168943104387,8.751,0.40725
"217",-489.051710268803,10.001,0.40725
