"","Sim-SPA","Sim-SPJ","Data-SPA","Data-SPJ","Beta","Rho","MLL"
"1",0.0949564579029141,0.0339851603269331,0.37037037037037,0.333333333333333,12.501,0.03225,-265.987626541379
"2",0.0933291009122702,0.0325212254044188,0.363636363636364,0.0454545454545455,12.501,0.03225,-248.474530727925
"3",0.0938662885511525,0.0426332656644315,0.452380952380952,0.117647058823529,12.501,0.03225,-255.468960731249
"4",0.179544360168164,0.103173412751339,0.4,0.214285714285714,13.751,0.03225,-263.793923396538
"5",0.177740945948612,0.0515182980272135,0.382716049382716,0.03125,13.751,0.03225,-233.788987534796
"6",0.176514804150119,0.0718176212020747,0.366666666666667,0.142857142857143,13.751,0.03225,-259.06800733098
"7",0.177665745912935,0.0927229253755845,0.40650406504065,0.0943396226415094,13.751,0.03225,-234.691076466489
"8",0.178968084008719,0.103451868554406,0.19047619047619,0.142857142857143,13.751,0.03225,-253.061085191461
"9",0.183605428891003,0.0473783744607119,0.454545454545455,0.315789473684211,13.751,0.03225,-251.899220439753
"10",0.177463248170217,0.0520740967354032,0.230769230769231,0.171875,13.751,0.03225,-241.728634015471
"11",0.253203709645819,0.0885817116645855,0.489583333333333,0.0625,6.251,0.0635,-243.419719734366
"12",0.177272608678115,0.0926123386219085,0.349397590361446,0,13.751,0.03225,-231.203351420133
