"","V1","V2","V3"
"1",-506.56872045869,0.001,0.001
"2",-506.56872045869,1.251,0.001
"3",-506.56872045869,2.501,0.001
"4",-506.56872045869,3.751,0.001
"5",-506.56872045869,5.001,0.001
"6",-506.56872045869,6.251,0.001
"7",-506.56872045869,7.501,0.001
"8",-506.56872045869,8.751,0.001
"9",-506.56872045869,10.001,0.001
"10",-506.56872045869,11.251,0.001
"11",-506.56872045869,12.501,0.001
"12",-506.56872045869,13.751,0.001
"13",-506.56872045869,15.001,0.001
"14",-506.56872045869,16.251,0.001
"15",-506.56872045869,17.501,0.001
"16",-506.56872045869,18.751,0.001
"17",-506.56872045869,0.001,0.03225
"18",-506.56872045869,1.251,0.03225
"19",-506.56872045869,2.501,0.03225
"20",-506.56872045869,3.751,0.03225
"21",-506.56872045869,5.001,0.03225
"22",-506.56872045869,6.251,0.03225
"23",-506.56872045869,7.501,0.03225
"24",-506.56872045869,8.751,0.03225
"25",-297.652447321487,10.001,0.03225
"26",-260.398088918219,11.251,0.03225
"27",-248.474530727925,12.501,0.03225
"28",-248.740711785655,13.751,0.03225
"29",-256.085442164976,15.001,0.03225
"30",-268.771252633628,16.251,0.03225
"31",-279.420218456075,17.501,0.03225
"32",-288.75315831213,18.751,0.03225
"33",-506.56872045869,0.001,0.0635
"34",-506.56872045869,1.251,0.0635
"35",-506.56872045869,2.501,0.0635
"36",-506.56872045869,3.751,0.0635
"37",-285.230211449018,5.001,0.0635
"38",-252.207571563919,6.251,0.0635
"39",-252.623485463911,7.501,0.0635
"40",-276.459161661738,8.751,0.0635
"41",-300.378452721007,10.001,0.0635
"42",-326.843096909755,11.251,0.0635
"43",-355.009215218416,12.501,0.0635
"44",-380.854437570367,13.751,0.0635
"45",-402.824581644196,15.001,0.0635
"46",-424.987580141981,16.251,0.0635
"47",-438.895909260538,17.501,0.0635
"48",-449.34035270235,18.751,0.0635
"49",-506.56872045869,0.001,0.09475
"50",-506.56872045869,1.251,0.09475
"51",-506.56872045869,2.501,0.09475
"52",-264.595525117338,3.751,0.09475
"53",-252.93637570347,5.001,0.09475
"54",-288.55699314359,6.251,0.09475
"55",-326.482225161308,7.501,0.09475
"56",-367.629765141908,8.751,0.09475
"57",-400.243536537403,10.001,0.09475
"58",-432.978093999049,11.251,0.09475
"59",-447.084904872495,12.501,0.09475
"60",-462.480423270262,13.751,0.09475
"61",-469.290671581293,15.001,0.09475
"62",-478.142014838328,16.251,0.09475
"63",-480.641378404055,17.501,0.09475
"64",-482.975880546952,18.751,0.09475
"65",-506.56872045869,0.001,0.126
"66",-506.56872045869,1.251,0.126
"67",-293.874776617115,2.501,0.126
"68",-252.785358887042,3.751,0.126
"69",-298.998502781028,5.001,0.126
"70",-353.235440797879,6.251,0.126
"71",-398.308381178349,7.501,0.126
"72",-434.358968147009,8.751,0.126
"73",-455.096612610615,10.001,0.126
"74",-468.089072634042,11.251,0.126
"75",-479.495354226116,12.501,0.126
"76",-481.051563684157,13.751,0.126
"77",-484.058936176782,15.001,0.126
"78",-486.945685372543,16.251,0.126
"79",-487.238861443697,17.501,0.126
"80",-487.233678695457,18.751,0.126
"81",-506.56872045869,0.001,0.15725
"82",-506.56872045869,1.251,0.15725
"83",-253.595520857263,2.501,0.15725
"84",-289.003046029919,3.751,0.15725
"85",-351.781329994258,5.001,0.15725
"86",-407.261194667744,6.251,0.15725
"87",-447.245866005041,7.501,0.15725
"88",-464.421917757815,8.751,0.15725
"89",-480.628297164761,10.001,0.15725
"90",-480.535568149099,11.251,0.15725
"91",-483.950278815197,12.501,0.15725
"92",-490.658102214708,13.751,0.15725
"93",-486.413328470032,15.001,0.15725
"94",-486.463383923474,16.251,0.15725
"95",-487.139437120234,17.501,0.15725
"96",-487.904543968309,18.751,0.15725
"97",-506.56872045869,0.001,0.1885
"98",-388.97617044123,1.251,0.1885
"99",-253.61512346642,2.501,0.1885
"100",-325.056346999016,3.751,0.1885
"101",-395.167802747653,5.001,0.1885
"102",-445.261124493254,6.251,0.1885
"103",-466.438534818551,7.501,0.1885
"104",-477.115629050681,8.751,0.1885
"105",-481.404894363362,10.001,0.1885
"106",-486.000139919837,11.251,0.1885
"107",-485.532281604118,12.501,0.1885
"108",-485.737525111157,13.751,0.1885
"109",-486.545717288249,15.001,0.1885
"110",-487.64966511707,16.251,0.1885
"111",-489.329197924949,17.501,0.1885
"112",-491.488834042236,18.751,0.1885
"113",-506.56872045869,0.001,0.21975
"114",-343.486237613365,1.251,0.21975
"115",-279.530733554979,2.501,0.21975
"116",-362.963718995533,3.751,0.21975
"117",-432.497512689375,5.001,0.21975
"118",-463.563200329602,6.251,0.21975
"119",-475.911298371413,7.501,0.21975
"120",-480.839646281438,8.751,0.21975
"121",-486.12293328729,10.001,0.21975
"122",-484.757702555114,11.251,0.21975
"123",-485.14333480901,12.501,0.21975
"124",-486.665869962753,13.751,0.21975
"125",-488.764527009572,15.001,0.21975
"126",-490.948043835456,16.251,0.21975
"127",-493.789186356389,17.501,0.21975
"128",-496.439400303026,18.751,0.21975
"129",-506.56872045869,0.001,0.251
"130",-309.58799133587,1.251,0.251
"131",-298.453435154829,2.501,0.251
"132",-391.883462924522,3.751,0.251
"133",-453.894706539126,5.001,0.251
"134",-477.609792199678,6.251,0.251
"135",-478.778519389936,7.501,0.251
"136",-485.033798163158,8.751,0.251
"137",-483.954261614755,10.001,0.251
"138",-484.810328300512,11.251,0.251
"139",-486.602037864497,12.501,0.251
"140",-488.9814971105,13.751,0.251
"141",-491.865410870855,15.001,0.251
"142",-495.064873340779,16.251,0.251
"143",-498.093153127876,17.501,0.251
"144",-500.709853647942,18.751,0.251
"145",-506.56872045869,0.001,0.28225
"146",-276.453363497454,1.251,0.28225
"147",-323.8465310592,2.501,0.28225
"148",-417.09781192682,3.751,0.28225
"149",-462.804773065362,5.001,0.28225
"150",-475.337840417351,6.251,0.28225
"151",-481.245204798917,7.501,0.28225
"152",-483.009178670895,8.751,0.28225
"153",-483.925891835859,10.001,0.28225
"154",-486.024484385127,11.251,0.28225
"155",-488.940087993133,12.501,0.28225
"156",-491.965159144394,13.751,0.28225
"157",-495.342660415116,15.001,0.28225
"158",-498.329282199376,16.251,0.28225
"159",-500.901086297664,17.501,0.28225
"160",-502.98147821369,18.751,0.28225
"161",-506.56872045869,0.001,0.3135
"162",-259.528306114765,1.251,0.3135
"163",-346.794591510535,2.501,0.3135
"164",-435.68490771311,3.751,0.3135
"165",-473.91631761138,5.001,0.3135
"166",-477.462513266207,6.251,0.3135
"167",-482.038598631651,7.501,0.3135
"168",-482.745730243026,8.751,0.3135
"169",-484.834418497984,10.001,0.3135
"170",-487.850552850149,11.251,0.3135
"171",-491.46317056815,12.501,0.3135
"172",-494.739709761279,13.751,0.3135
"173",-497.894553752076,15.001,0.3135
"174",-500.533771549244,16.251,0.3135
"175",-502.618268923792,17.501,0.3135
"176",-504.30763300473,18.751,0.3135
"177",-506.56872045869,0.001,0.34475
"178",-254.525107484894,1.251,0.34475
"179",-368.145021021578,2.501,0.34475
"180",-449.050772025206,3.751,0.34475
"181",-472.246530149606,5.001,0.34475
"182",-479.176236026544,6.251,0.34475
"183",-481.404509451974,7.501,0.34475
"184",-483.218290279035,8.751,0.34475
"185",-486.34439207331,10.001,0.34475
"186",-489.930350193491,11.251,0.34475
"187",-493.511288280415,12.501,0.34475
"188",-496.721330697464,13.751,0.34475
"189",-499.270475471215,15.001,0.34475
"190",-501.406694408413,16.251,0.34475
"191",-503.201980931833,17.501,0.34475
"192",-504.461341955378,18.751,0.34475
"193",-506.56872045869,0.001,0.376
"194",-257.620005227099,1.251,0.376
"195",-384.917640002908,2.501,0.376
"196",-461.704532341877,3.751,0.376
"197",-473.400668841179,5.001,0.376
"198",-483.879233324022,6.251,0.376
"199",-481.270862297541,7.501,0.376
"200",-484.128552204968,8.751,0.376
"201",-487.808657930722,10.001,0.376
"202",-491.70944518143,11.251,0.376
"203",-494.99361307387,12.501,0.376
"204",-497.760517639536,13.751,0.376
"205",-499.925462675527,15.001,0.376
"206",-501.63187617375,16.251,0.376
"207",-502.941028609889,17.501,0.376
"208",-503.934031251004,18.751,0.376
"209",-506.56872045869,0.001,0.40725
"210",-272.201098159179,1.251,0.40725
"211",-399.297882031378,2.501,0.40725
"212",-463.997532435614,3.751,0.40725
"213",-474.495948927087,5.001,0.40725
"214",-479.478698501386,6.251,0.40725
"215",-481.560734821389,7.501,0.40725
"216",-485.104988474424,8.751,0.40725
"217",-489.08265874915,10.001,0.40725
