"","V1","V2","V3"
"1",-506.56872045869,0.001,0.001
"2",-506.56872045869,1.251,0.001
"3",-506.56872045869,2.501,0.001
"4",-506.56872045869,3.751,0.001
"5",-506.56872045869,5.001,0.001
"6",-506.56872045869,6.251,0.001
"7",-506.56872045869,7.501,0.001
"8",-506.56872045869,8.751,0.001
"9",-506.56872045869,10.001,0.001
"10",-506.56872045869,11.251,0.001
"11",-506.56872045869,12.501,0.001
"12",-506.56872045869,13.751,0.001
"13",-506.56872045869,15.001,0.001
"14",-506.56872045869,16.251,0.001
"15",-506.56872045869,17.501,0.001
"16",-506.56872045869,18.751,0.001
"17",-506.56872045869,0.001,0.03225
"18",-506.56872045869,1.251,0.03225
"19",-506.56872045869,2.501,0.03225
"20",-506.56872045869,3.751,0.03225
"21",-506.56872045869,5.001,0.03225
"22",-506.56872045869,6.251,0.03225
"23",-506.56872045869,7.501,0.03225
"24",-506.56872045869,8.751,0.03225
"25",-292.692868763269,10.001,0.03225
"26",-260.70393520099,11.251,0.03225
"27",-243.603078759342,12.501,0.03225
"28",-241.728634015471,13.751,0.03225
"29",-243.433408877024,15.001,0.03225
"30",-249.719947882698,16.251,0.03225
"31",-260.119545509029,17.501,0.03225
"32",-270.866768231563,18.751,0.03225
"33",-506.56872045869,0.001,0.0635
"34",-506.56872045869,1.251,0.0635
"35",-506.56872045869,2.501,0.0635
"36",-506.56872045869,3.751,0.0635
"37",-302.066561240815,5.001,0.0635
"38",-248.434656094176,6.251,0.0635
"39",-242.937122309602,7.501,0.0635
"40",-258.643699522962,8.751,0.0635
"41",-283.642258117421,10.001,0.0635
"42",-314.792390286318,11.251,0.0635
"43",-352.806309214536,12.501,0.0635
"44",-380.250491701837,13.751,0.0635
"45",-402.50030310354,15.001,0.0635
"46",-425.862486093523,16.251,0.0635
"47",-438.18505773139,17.501,0.0635
"48",-448.837121128333,18.751,0.0635
"49",-506.56872045869,0.001,0.09475
"50",-506.56872045869,1.251,0.09475
"51",-418.404417035915,2.501,0.09475
"52",-269.367337557706,3.751,0.09475
"53",-242.567546228793,5.001,0.09475
"54",-268.438278433898,6.251,0.09475
"55",-316.858654168289,7.501,0.09475
"56",-367.781582699015,8.751,0.09475
"57",-400.820298388185,10.001,0.09475
"58",-428.692517399394,11.251,0.09475
"59",-446.658855999811,12.501,0.09475
"60",-462.530041823392,13.751,0.09475
"61",-469.473103502659,15.001,0.09475
"62",-478.07606222572,16.251,0.09475
"63",-480.459762146336,17.501,0.09475
"64",-483.080796563825,18.751,0.09475
"65",-506.56872045869,0.001,0.126
"66",-506.56872045869,1.251,0.126
"67",-314.678312693393,2.501,0.126
"68",-242.53572477687,3.751,0.126
"69",-282.027035567564,5.001,0.126
"70",-349.477364116656,6.251,0.126
"71",-398.476242093183,7.501,0.126
"72",-434.100048163773,8.751,0.126
"73",-455.445356787247,10.001,0.126
"74",-468.301019235459,11.251,0.126
"75",-480.601507863487,12.501,0.126
"76",-481.033534944324,13.751,0.126
"77",-484.094883831201,15.001,0.126
"78",-487.016421708077,16.251,0.126
"79",-487.298587537219,17.501,0.126
"80",-487.163410287529,18.751,0.126
"81",-506.56872045869,0.001,0.15725
"82",-506.56872045869,1.251,0.15725
"83",-254.215769901733,2.501,0.15725
"84",-269.229489858882,3.751,0.15725
"85",-347.616857929067,5.001,0.15725
"86",-406.94262983096,6.251,0.15725
"87",-444.649138295071,7.501,0.15725
"88",-464.494032485458,8.751,0.15725
"89",-479.424339436706,10.001,0.15725
"90",-480.45587052645,11.251,0.15725
"91",-483.893131994024,12.501,0.15725
"92",-490.916508575581,13.751,0.15725
"93",-486.409866866555,15.001,0.15725
"94",-486.565639412943,16.251,0.15725
"95",-487.041312246578,17.501,0.15725
"96",-487.856048513893,18.751,0.15725
"97",-506.56872045869,0.001,0.1885
"98",-422.960761039394,1.251,0.1885
"99",-243.425409633778,2.501,0.1885
"100",-314.32393202857,3.751,0.1885
"101",-394.847941924022,5.001,0.1885
"102",-445.429201372726,6.251,0.1885
"103",-466.307592762723,7.501,0.1885
"104",-476.996920672057,8.751,0.1885
"105",-481.356870480011,10.001,0.1885
"106",-485.695646472166,11.251,0.1885
"107",-485.435708054972,12.501,0.1885
"108",-485.792559775692,13.751,0.1885
"109",-486.492595374267,15.001,0.1885
"110",-487.787141074575,16.251,0.1885
"111",-489.285147320181,17.501,0.1885
"112",-491.299414517865,18.751,0.1885
"113",-506.56872045869,0.001,0.21975
"114",-370.579504598229,1.251,0.21975
"115",-259.200426266836,2.501,0.21975
"116",-362.737949934792,3.751,0.21975
"117",-432.34513570992,5.001,0.21975
"118",-463.228592217012,6.251,0.21975
"119",-475.775175231126,7.501,0.21975
"120",-480.745233242391,8.751,0.21975
"121",-487.60675702525,10.001,0.21975
"122",-484.69910385169,11.251,0.21975
"123",-485.29532196618,12.501,0.21975
"124",-486.566579838182,13.751,0.21975
"125",-488.448217487995,15.001,0.21975
"126",-490.909551316594,16.251,0.21975
"127",-493.685722051892,17.501,0.21975
"128",-496.609209034326,18.751,0.21975
"129",-506.56872045869,0.001,0.251
"130",-332.596725757977,1.251,0.251
"131",-281.273447030677,2.501,0.251
"132",-391.910306965471,3.751,0.251
"133",-449.542991863475,5.001,0.251
"134",-477.391080277687,6.251,0.251
"135",-478.718050262121,7.501,0.251
"136",-484.719026724254,8.751,0.251
"137",-483.964264648737,10.001,0.251
"138",-484.887082649277,11.251,0.251
"139",-486.598669329813,12.501,0.251
"140",-489.159969218146,13.751,0.251
"141",-491.950445405841,15.001,0.251
"142",-495.042010480898,16.251,0.251
"143",-498.078813658708,17.501,0.251
"144",-500.665545348538,18.751,0.251
"145",-506.56872045869,0.001,0.28225
"146",-285.926329379746,1.251,0.28225
"147",-312.632504301429,2.501,0.28225
"148",-417.04513559508,3.751,0.28225
"149",-462.664997824663,5.001,0.28225
"150",-475.510270065864,6.251,0.28225
"151",-481.364396740793,7.501,0.28225
"152",-482.983653162981,8.751,0.28225
"153",-483.861389076216,10.001,0.28225
"154",-486.045786082142,11.251,0.28225
"155",-488.733477510905,12.501,0.28225
"156",-492.163815158936,13.751,0.28225
"157",-495.341503379537,15.001,0.28225
"158",-498.305088656272,16.251,0.28225
"159",-500.994065824114,17.501,0.28225
"160",-503.254348658611,18.751,0.28225
"161",-506.56872045869,0.001,0.3135
"162",-259.571628744405,1.251,0.3135
"163",-342.079877919869,2.501,0.3135
"164",-435.659161764835,3.751,0.3135
"165",-475.227884051441,5.001,0.3135
"166",-477.26329197085,6.251,0.3135
"167",-482.123159049174,7.501,0.3135
"168",-482.695487473552,8.751,0.3135
"169",-484.82597551692,10.001,0.3135
"170",-487.892116326092,11.251,0.3135
"171",-491.422053494715,12.501,0.3135
"172",-494.768979144441,13.751,0.3135
"173",-497.914060050395,15.001,0.3135
"174",-500.523892736034,16.251,0.3135
"175",-502.697783712158,17.501,0.3135
"176",-504.199364438999,18.751,0.3135
"177",-506.56872045869,0.001,0.34475
"178",-249.733340467715,1.251,0.34475
"179",-368.219687515243,2.501,0.34475
"180",-449.265301711928,3.751,0.34475
"181",-472.269685071589,5.001,0.34475
"182",-479.266981370285,6.251,0.34475
"183",-481.349883724886,7.501,0.34475
"184",-483.188739072742,8.751,0.34475
"185",-486.234544139923,10.001,0.34475
"186",-489.896708457937,11.251,0.34475
"187",-493.627034499225,12.501,0.34475
"188",-496.71379323736,13.751,0.34475
"189",-499.288598244875,15.001,0.34475
"190",-501.413648083149,16.251,0.34475
"191",-503.076307349756,17.501,0.34475
"192",-504.354382063298,18.751,0.34475
"193",-506.56872045869,0.001,0.376
"194",-247.565563020856,1.251,0.376
"195",-384.951416022412,2.501,0.376
"196",-457.108751862101,3.751,0.376
"197",-473.348401260481,5.001,0.376
"198",-480.200534445918,6.251,0.376
"199",-481.287409998299,7.501,0.376
"200",-484.030900565945,8.751,0.376
"201",-487.824015853911,10.001,0.376
"202",-491.611127460964,11.251,0.376
"203",-495.070256267278,12.501,0.376
"204",-497.792865141391,13.751,0.376
"205",-500.031792850717,15.001,0.376
"206",-501.593920315857,16.251,0.376
"207",-502.902156353823,17.501,0.376
"208",-503.943884120874,18.751,0.376
"209",-506.56872045869,0.001,0.40725
"210",-257.578664982744,1.251,0.40725
"211",-399.114506896858,2.501,0.40725
"212",-464.072935332168,3.751,0.40725
"213",-478.869513777019,5.001,0.40725
"214",-479.504691222131,6.251,0.40725
"215",-481.53650123247,7.501,0.40725
"216",-485.196924151609,8.751,0.40725
"217",-489.010234728425,10.001,0.40725
