"","V1","V2","V3"
"1",-506.56872045869,0.001,0.001
"2",-506.56872045869,1.251,0.001
"3",-506.56872045869,2.501,0.001
"4",-506.56872045869,3.751,0.001
"5",-506.56872045869,5.001,0.001
"6",-506.56872045869,6.251,0.001
"7",-506.56872045869,7.501,0.001
"8",-506.56872045869,8.751,0.001
"9",-506.56872045869,10.001,0.001
"10",-506.56872045869,11.251,0.001
"11",-506.56872045869,12.501,0.001
"12",-506.56872045869,13.751,0.001
"13",-506.56872045869,15.001,0.001
"14",-506.56872045869,16.251,0.001
"15",-506.56872045869,17.501,0.001
"16",-506.56872045869,18.751,0.001
"17",-506.56872045869,0.001,0.03225
"18",-506.56872045869,1.251,0.03225
"19",-506.56872045869,2.501,0.03225
"20",-506.56872045869,3.751,0.03225
"21",-506.56872045869,5.001,0.03225
"22",-506.56872045869,6.251,0.03225
"23",-506.56872045869,7.501,0.03225
"24",-506.56872045869,8.751,0.03225
"25",-293.935641812307,10.001,0.03225
"26",-258.852063254263,11.251,0.03225
"27",-255.792664499761,12.501,0.03225
"28",-251.899220439753,13.751,0.03225
"29",-261.427292106165,15.001,0.03225
"30",-277.03174250476,16.251,0.03225
"31",-287.081746279561,17.501,0.03225
"32",-304.816382324516,18.751,0.03225
"33",-506.56872045869,0.001,0.0635
"34",-506.56872045869,1.251,0.0635
"35",-506.56872045869,2.501,0.0635
"36",-394.19294819803,3.751,0.0635
"37",-297.521124830752,5.001,0.0635
"38",-255.201573678797,6.251,0.0635
"39",-258.903153805316,7.501,0.0635
"40",-285.344573811674,8.751,0.0635
"41",-315.419519108179,10.001,0.0635
"42",-348.106427615804,11.251,0.0635
"43",-382.552104238565,12.501,0.0635
"44",-407.807443410837,13.751,0.0635
"45",-427.376252071059,15.001,0.0635
"46",-445.442780583976,16.251,0.0635
"47",-457.642851176472,17.501,0.0635
"48",-470.00669277737,18.751,0.0635
"49",-506.56872045869,0.001,0.09475
"50",-506.56872045869,1.251,0.09475
"51",-506.56872045869,2.501,0.09475
"52",-267.964199193239,3.751,0.09475
"53",-258.767417119632,5.001,0.09475
"54",-301.392127588781,6.251,0.09475
"55",-346.659944683349,7.501,0.09475
"56",-396.821078341592,8.751,0.09475
"57",-425.636333529018,10.001,0.09475
"58",-452.49221284496,11.251,0.09475
"59",-462.87342803514,12.501,0.09475
"60",-472.621832575776,13.751,0.09475
"61",-474.669233773051,15.001,0.09475
"62",-478.057826150856,16.251,0.09475
"63",-480.477281404303,17.501,0.09475
"64",-482.996806092463,18.751,0.09475
"65",-506.56872045869,0.001,0.126
"66",-506.56872045869,1.251,0.126
"67",-312.670923571574,2.501,0.126
"68",-259.728210203369,3.751,0.126
"69",-313.571095242444,5.001,0.126
"70",-379.601383172417,6.251,0.126
"71",-423.868603642965,7.501,0.126
"72",-453.242116324016,8.751,0.126
"73",-467.348466746128,10.001,0.126
"74",-473.526968766981,11.251,0.126
"75",-477.637429081577,12.501,0.126
"76",-481.079018064571,13.751,0.126
"77",-483.854327172741,15.001,0.126
"78",-486.762148203546,16.251,0.126
"79",-487.257981683285,17.501,0.126
"80",-487.257537962968,18.751,0.126
"81",-506.56872045869,0.001,0.15725
"82",-506.56872045869,1.251,0.15725
"83",-258.896940036205,2.501,0.15725
"84",-302.09486108607,3.751,0.15725
"85",-378.487638476232,5.001,0.15725
"86",-430.74141356234,6.251,0.15725
"87",-463.306697712552,7.501,0.15725
"88",-471.543870110205,8.751,0.15725
"89",-476.465658531206,10.001,0.15725
"90",-480.439232047075,11.251,0.15725
"91",-484.094134943291,12.501,0.15725
"92",-489.244121694184,13.751,0.15725
"93",-486.318918530227,15.001,0.15725
"94",-486.482075788616,16.251,0.15725
"95",-486.942829392969,17.501,0.15725
"96",-487.961902489427,18.751,0.15725
"97",-506.56872045869,0.001,0.1885
"98",-392.981439920536,1.251,0.1885
"99",-260.230218554791,2.501,0.1885
"100",-345.734935086714,3.751,0.1885
"101",-419.732687832876,5.001,0.1885
"102",-461.0367140423,6.251,0.1885
"103",-471.519284206052,7.501,0.1885
"104",-476.999126892513,8.751,0.1885
"105",-481.296690441448,10.001,0.1885
"106",-485.743275352709,11.251,0.1885
"107",-485.60495473568,12.501,0.1885
"108",-485.744305391847,13.751,0.1885
"109",-486.477079678564,15.001,0.1885
"110",-487.557725448807,16.251,0.1885
"111",-489.30327464839,17.501,0.1885
"112",-491.428926995529,18.751,0.1885
"113",-506.56872045869,0.001,0.21975
"114",-355.711507421612,1.251,0.21975
"115",-287.251675194007,2.501,0.21975
"116",-391.54935741782,3.751,0.21975
"117",-449.935036077089,5.001,0.21975
"118",-470.26390925612,6.251,0.21975
"119",-475.754149156175,7.501,0.21975
"120",-480.848390217231,8.751,0.21975
"121",-486.755548184289,10.001,0.21975
"122",-484.64368228369,11.251,0.21975
"123",-485.269140144945,12.501,0.21975
"124",-486.663505538596,13.751,0.21975
"125",-488.720439012812,15.001,0.21975
"126",-490.887519291757,16.251,0.21975
"127",-493.79819078261,17.501,0.21975
"128",-496.374692396978,18.751,0.21975
"129",-506.56872045869,0.001,0.251
"130",-318.317659743872,1.251,0.251
"131",-313.893374408809,2.501,0.251
"132",-416.893588834414,3.751,0.251
"133",-461.254632234941,5.001,0.251
"134",-473.166613451551,6.251,0.251
"135",-478.813880810939,7.501,0.251
"136",-484.731423462069,8.751,0.251
"137",-483.876089496411,10.001,0.251
"138",-484.756258264762,11.251,0.251
"139",-486.698295690276,12.501,0.251
"140",-489.052328868293,13.751,0.251
"141",-492.045495068783,15.001,0.251
"142",-494.87389684788,16.251,0.251
"143",-498.136995661806,17.501,0.251
"144",-500.728544645071,18.751,0.251
"145",-506.56872045869,0.001,0.28225
"146",-283.374545242671,1.251,0.28225
"147",-343.645134205154,2.501,0.28225
"148",-437.234061147606,3.751,0.28225
"149",-467.838335899856,5.001,0.28225
"150",-475.41809044483,6.251,0.28225
"151",-481.300501371416,7.501,0.28225
"152",-482.999336464368,8.751,0.28225
"153",-483.980313410271,10.001,0.28225
"154",-485.949010448425,11.251,0.28225
"155",-488.971686638634,12.501,0.28225
"156",-492.191060860036,13.751,0.28225
"157",-495.359815878444,15.001,0.28225
"158",-498.440431885016,16.251,0.28225
"159",-500.903736103025,17.501,0.28225
"160",-503.133758908346,18.751,0.28225
"161",-506.56872045869,0.001,0.3135
"162",-265.249959468009,1.251,0.3135
"163",-371.7317275737,2.501,0.3135
"164",-453.555606648769,3.751,0.3135
"165",-474.392570713057,5.001,0.3135
"166",-477.47624969327,6.251,0.3135
"167",-482.098533867854,7.501,0.3135
"168",-482.752047337891,8.751,0.3135
"169",-484.874401375199,10.001,0.3135
"170",-487.928774374938,11.251,0.3135
"171",-491.244292877469,12.501,0.3135
"172",-494.762977699344,13.751,0.3135
"173",-497.844030097141,15.001,0.3135
"174",-500.447755070264,16.251,0.3135
"175",-502.633808677253,17.501,0.3135
"176",-504.310724455444,18.751,0.3135
"177",-506.56872045869,0.001,0.34475
"178",-260.190786879611,1.251,0.34475
"179",-395.517907180516,2.501,0.34475
"180",-459.12158826373,3.751,0.34475
"181",-472.24156579228,5.001,0.34475
"182",-479.2534750654,6.251,0.34475
"183",-481.408496508746,7.501,0.34475
"184",-483.244035888481,8.751,0.34475
"185",-486.21155473421,10.001,0.34475
"186",-489.847542811378,11.251,0.34475
"187",-493.486430084332,12.501,0.34475
"188",-496.721002901536,13.751,0.34475
"189",-499.297830025961,15.001,0.34475
"190",-501.49921724696,16.251,0.34475
"191",-503.179362504408,17.501,0.34475
"192",-504.461143756494,18.751,0.34475
"193",-506.56872045869,0.001,0.376
"194",-264.678957381534,1.251,0.376
"195",-409.157314714273,2.501,0.376
"196",-462.009368911064,3.751,0.376
"197",-473.390277430106,5.001,0.376
"198",-480.187010278,6.251,0.376
"199",-481.315148934399,7.501,0.376
"200",-484.079699728271,8.751,0.376
"201",-487.865083227043,10.001,0.376
"202",-491.691196594119,11.251,0.376
"203",-495.050403896372,12.501,0.376
"204",-497.760480338717,13.751,0.376
"205",-500.010490601416,15.001,0.376
"206",-501.652893138269,16.251,0.376
"207",-502.881145982079,17.501,0.376
"208",-504.012948122709,18.751,0.376
"209",-506.56872045869,0.001,0.40725
"210",-279.301518493507,1.251,0.40725
"211",-420.523733102511,2.501,0.40725
"212",-463.955956435187,3.751,0.40725
"213",-478.811718607468,5.001,0.40725
"214",-479.484549670265,6.251,0.40725
"215",-481.472749235707,7.501,0.40725
"216",-485.082735276028,8.751,0.40725
"217",-489.157840840283,10.001,0.40725
"218",-492.827192501389,11.251,0.40725
