"","V1","V2","V3"
"1",-506.56872045869,0.001,0.001
"2",-506.56872045869,1.251,0.001
"3",-506.56872045869,2.501,0.001
"4",-506.56872045869,3.751,0.001
"5",-506.56872045869,5.001,0.001
"6",-506.56872045869,6.251,0.001
"7",-506.56872045869,7.501,0.001
"8",-506.56872045869,8.751,0.001
"9",-506.56872045869,10.001,0.001
"10",-506.56872045869,11.251,0.001
"11",-506.56872045869,12.501,0.001
"12",-506.56872045869,13.751,0.001
"13",-506.56872045869,15.001,0.001
"14",-506.56872045869,16.251,0.001
"15",-506.56872045869,17.501,0.001
"16",-506.56872045869,18.751,0.001
"17",-506.56872045869,0.001,0.03225
"18",-506.56872045869,1.251,0.03225
"19",-506.56872045869,2.501,0.03225
"20",-506.56872045869,3.751,0.03225
"21",-506.56872045869,5.001,0.03225
"22",-506.56872045869,6.251,0.03225
"23",-506.56872045869,7.501,0.03225
"24",-323.362804229818,8.751,0.03225
"25",-294.233845716425,10.001,0.03225
"26",-250.289647213731,11.251,0.03225
"27",-235.350622091474,12.501,0.03225
"28",-231.203351420133,13.751,0.03225
"29",-234.542969776699,15.001,0.03225
"30",-242.355681880216,16.251,0.03225
"31",-256.831606537173,17.501,0.03225
"32",-275.527981885642,18.751,0.03225
"33",-506.56872045869,0.001,0.0635
"34",-506.56872045869,1.251,0.0635
"35",-506.56872045869,2.501,0.0635
"36",-506.56872045869,3.751,0.0635
"37",-282.9569648723,5.001,0.0635
"38",-236.921895572183,6.251,0.0635
"39",-232.637489558266,7.501,0.0635
"40",-255.482152424841,8.751,0.0635
"41",-281.017142463157,10.001,0.0635
"42",-317.299061681074,11.251,0.0635
"43",-351.488860388669,12.501,0.0635
"44",-380.119779983191,13.751,0.0635
"45",-402.207113761169,15.001,0.0635
"46",-423.884430107584,16.251,0.0635
"47",-438.114974760872,17.501,0.0635
"48",-448.739173581442,18.751,0.0635
"49",-506.56872045869,0.001,0.09475
"50",-506.56872045869,1.251,0.09475
"51",-395.671999074288,2.501,0.09475
"52",-252.385465919778,3.751,0.09475
"53",-232.908484486758,5.001,0.09475
"54",-271.152248869483,6.251,0.09475
"55",-315.818851119341,7.501,0.09475
"56",-370.910070735681,8.751,0.09475
"57",-400.386117468826,10.001,0.09475
"58",-428.428734848457,11.251,0.09475
"59",-447.052695877986,12.501,0.09475
"60",-462.455184849858,13.751,0.09475
"61",-469.09928724283,15.001,0.09475
"62",-478.06575910146,16.251,0.09475
"63",-480.614876477345,17.501,0.09475
"64",-482.960753065222,18.751,0.09475
"65",-506.56872045869,0.001,0.126
"66",-506.56872045869,1.251,0.126
"67",-293.299673873275,2.501,0.126
"68",-232.89863142563,3.751,0.126
"69",-282.090252133896,5.001,0.126
"70",-349.786028651499,6.251,0.126
"71",-398.642427996802,7.501,0.126
"72",-434.141394021069,8.751,0.126
"73",-455.491449086684,10.001,0.126
"74",-468.262711154804,11.251,0.126
"75",-480.431372539898,12.501,0.126
"76",-481.054314065866,13.751,0.126
"77",-483.748734319575,15.001,0.126
"78",-486.762825292645,16.251,0.126
"79",-490.567772049378,17.501,0.126
"80",-487.289905230943,18.751,0.126
"81",-506.56872045869,0.001,0.15725
"82",-506.56872045869,1.251,0.15725
"83",-243.186395278783,2.501,0.15725
"84",-269.47931299363,3.751,0.15725
"85",-348.764575782601,5.001,0.15725
"86",-407.175844686026,6.251,0.15725
"87",-448.474725271732,7.501,0.15725
"88",-464.221333004664,8.751,0.15725
"89",-480.84179935441,10.001,0.15725
"90",-480.520439892013,11.251,0.15725
"91",-484.222920241205,12.501,0.15725
"92",-489.255558313153,13.751,0.15725
"93",-486.37540513325,15.001,0.15725
"94",-486.402064937285,16.251,0.15725
"95",-486.937789011684,17.501,0.15725
"96",-487.853257424481,18.751,0.15725
"97",-506.56872045869,0.001,0.1885
"98",-397.471335349621,1.251,0.1885
"99",-233.264733988015,2.501,0.1885
"100",-313.919565085416,3.751,0.1885
"101",-395.005040298163,5.001,0.1885
"102",-444.660570430621,6.251,0.1885
"103",-466.20663248539,7.501,0.1885
"104",-476.985354054242,8.751,0.1885
"105",-481.422788394841,10.001,0.1885
"106",-485.878115799915,11.251,0.1885
"107",-485.428247917288,12.501,0.1885
"108",-485.764087512176,13.751,0.1885
"109",-486.488117638561,15.001,0.1885
"110",-487.717831338154,16.251,0.1885
"111",-489.274738006393,17.501,0.1885
"112",-491.601316087067,18.751,0.1885
"113",-506.56872045869,0.001,0.21975
"114",-352.193649330937,1.251,0.21975
"115",-257.06098180974,2.501,0.21975
"116",-362.855808831378,3.751,0.21975
"117",-432.792023666638,5.001,0.21975
"118",-463.856631935142,6.251,0.21975
"119",-475.927839099555,7.501,0.21975
"120",-480.766193007646,8.751,0.21975
"121",-487.89772403951,10.001,0.21975
"122",-484.64479225967,11.251,0.21975
"123",-485.3719293944,12.501,0.21975
"124",-486.674123457711,13.751,0.21975
"125",-488.494951762526,15.001,0.21975
"126",-491.043964681053,16.251,0.21975
"127",-493.689775125376,17.501,0.21975
"128",-496.587615675193,18.751,0.21975
"129",-506.56872045869,0.001,0.251
"130",-315.433185342516,1.251,0.251
"131",-281.371497426835,2.501,0.251
"132",-391.811325592554,3.751,0.251
"133",-449.497523586664,5.001,0.251
"134",-476.949776303327,6.251,0.251
"135",-478.721145556408,7.501,0.251
"136",-484.897023935863,8.751,0.251
"137",-483.939810278361,10.001,0.251
"138",-484.685743584144,11.251,0.251
"139",-486.681616252856,12.501,0.251
"140",-489.044151625277,13.751,0.251
"141",-491.948664928277,15.001,0.251
"142",-495.153220573215,16.251,0.251
"143",-497.983763259397,17.501,0.251
"144",-500.576228915594,18.751,0.251
"145",-506.56872045869,0.001,0.28225
"146",-272.147454337446,1.251,0.28225
"147",-312.336098280936,2.501,0.28225
"148",-417.336839563777,3.751,0.28225
"149",-462.869880571151,5.001,0.28225
"150",-475.513423355606,6.251,0.28225
"151",-481.315868483073,7.501,0.28225
"152",-483.026568849845,8.751,0.28225
"153",-483.966439632333,10.001,0.28225
"154",-485.971721568535,11.251,0.28225
"155",-488.909925117396,12.501,0.28225
"156",-492.209835686686,13.751,0.28225
"157",-495.429388966891,15.001,0.28225
"158",-498.369374199621,16.251,0.28225
"159",-500.986191782723,17.501,0.28225
"160",-503.160070153878,18.751,0.28225
"161",-506.56872045869,0.001,0.3135
"162",-249.031970356384,1.251,0.3135
"163",-341.986513064821,2.501,0.3135
"164",-435.91194648732,3.751,0.3135
"165",-475.059425691876,5.001,0.3135
"166",-477.307496195379,6.251,0.3135
"167",-482.03139152452,7.501,0.3135
"168",-482.722206439038,8.751,0.3135
"169",-484.73714031823,10.001,0.3135
"170",-487.845147260828,11.251,0.3135
"171",-491.31268605124,12.501,0.3135
"172",-494.874307578971,13.751,0.3135
"173",-497.808559482023,15.001,0.3135
"174",-500.398672451836,16.251,0.3135
"175",-502.541544218962,17.501,0.3135
"176",-504.290591790993,18.751,0.3135
"177",-506.56872045869,0.001,0.34475
"178",-238.740304159415,1.251,0.34475
"179",-370.454637028852,2.501,0.34475
"180",-449.044114755607,3.751,0.34475
"181",-472.178499207805,5.001,0.34475
"182",-479.269843518712,6.251,0.34475
"183",-481.489144124032,7.501,0.34475
"184",-483.142248593099,8.751,0.34475
"185",-486.269407846537,10.001,0.34475
"186",-489.922866966709,11.251,0.34475
"187",-493.565037201201,12.501,0.34475
"188",-496.727290018647,13.751,0.34475
"189",-499.349373889644,15.001,0.34475
"190",-501.452643365175,16.251,0.34475
"191",-503.159841037367,17.501,0.34475
"192",-504.474566533275,18.751,0.34475
"193",-506.56872045869,0.001,0.376
"194",-238.014160906709,1.251,0.376
"195",-384.856254072967,2.501,0.376
"196",-456.989941450903,3.751,0.376
"197",-473.390835382781,5.001,0.376
"198",-483.513934095963,6.251,0.376
"199",-481.251278266876,7.501,0.376
"200",-484.091066745363,8.751,0.376
"201",-487.848288649767,10.001,0.376
"202",-491.633583595556,11.251,0.376
"203",-494.986576102199,12.501,0.376
"204",-497.790670646559,13.751,0.376
"205",-499.927658726552,15.001,0.376
"206",-501.579917212432,16.251,0.376
"207",-502.927037368026,17.501,0.376
"208",-503.972745021752,18.751,0.376
"209",-506.56872045869,0.001,0.40725
"210",-244.99101300421,1.251,0.40725
"211",-399.156507580853,2.501,0.40725
"212",-464.011485071054,3.751,0.40725
"213",-474.619430607009,5.001,0.40725
"214",-479.460439536552,6.251,0.40725
"215",-481.538428384059,7.501,0.40725
"216",-485.037324732608,8.751,0.40725
"217",-489.147645231597,10.001,0.40725
