"","V1","V2","V3"
"1",-506.56872045869,0.001,0.001
"2",-506.56872045869,1.251,0.001
"3",-506.56872045869,2.501,0.001
"4",-506.56872045869,3.751,0.001
"5",-506.56872045869,5.001,0.001
"6",-506.56872045869,6.251,0.001
"7",-506.56872045869,7.501,0.001
"8",-506.56872045869,8.751,0.001
"9",-506.56872045869,10.001,0.001
"10",-506.56872045869,11.251,0.001
"11",-506.56872045869,12.501,0.001
"12",-506.56872045869,13.751,0.001
"13",-506.56872045869,15.001,0.001
"14",-506.56872045869,16.251,0.001
"15",-506.56872045869,17.501,0.001
"16",-506.56872045869,18.751,0.001
"17",-506.56872045869,0.001,0.03225
"18",-506.56872045869,1.251,0.03225
"19",-506.56872045869,2.501,0.03225
"20",-506.56872045869,3.751,0.03225
"21",-506.56872045869,5.001,0.03225
"22",-506.56872045869,6.251,0.03225
"23",-506.56872045869,7.501,0.03225
"24",-506.56872045869,8.751,0.03225
"25",-272.750805985621,10.001,0.03225
"26",-245.330772762871,11.251,0.03225
"27",-243.846524646278,12.501,0.03225
"28",-244.7256022205,13.751,0.03225
"29",-253.573147870035,15.001,0.03225
"30",-269.152419166105,16.251,0.03225
"31",-278.580439490918,17.501,0.03225
"32",-300.409442335984,18.751,0.03225
"33",-506.56872045869,0.001,0.0635
"34",-506.56872045869,1.251,0.0635
"35",-506.56872045869,2.501,0.0635
"36",-506.56872045869,3.751,0.0635
"37",-286.419178698171,5.001,0.0635
"38",-243.419719734366,6.251,0.0635
"39",-252.496771694602,7.501,0.0635
"40",-281.198133174906,8.751,0.0635
"41",-308.549671892095,10.001,0.0635
"42",-338.461159994768,11.251,0.0635
"43",-371.138898211776,12.501,0.0635
"44",-396.539131682137,13.751,0.0635
"45",-415.40061289028,15.001,0.0635
"46",-434.068919370678,16.251,0.0635
"47",-443.871406420795,17.501,0.0635
"48",-451.440254283149,18.751,0.0635
"49",-506.56872045869,0.001,0.09475
"50",-506.56872045869,1.251,0.09475
"51",-397.418366206525,2.501,0.09475
"52",-253.515885091615,3.751,0.09475
"53",-250.91168362954,5.001,0.09475
"54",-296.076968352401,6.251,0.09475
"55",-338.627909041229,7.501,0.09475
"56",-387.456489529196,8.751,0.09475
"57",-412.761595385651,10.001,0.09475
"58",-441.00534615843,11.251,0.09475
"59",-450.201814682103,12.501,0.09475
"60",-460.049676429061,13.751,0.09475
"61",-469.229627800171,15.001,0.09475
"62",-477.76187848119,16.251,0.09475
"63",-480.511629700466,17.501,0.09475
"64",-483.013349371784,18.751,0.09475
"65",-506.56872045869,0.001,0.126
"66",-506.56872045869,1.251,0.126
"67",-282.475764564011,2.501,0.126
"68",-251.224206038939,3.751,0.126
"69",-307.76547975872,5.001,0.126
"70",-370.09150754285,6.251,0.126
"71",-411.754978496954,7.501,0.126
"72",-440.587305333427,8.751,0.126
"73",-456.243202075699,10.001,0.126
"74",-468.158024658481,11.251,0.126
"75",-479.901905198108,12.501,0.126
"76",-481.121233935226,13.751,0.126
"77",-483.811977438251,15.001,0.126
"78",-486.892533696231,16.251,0.126
"79",-487.274051751125,17.501,0.126
"80",-487.177035493189,18.751,0.126
"81",-506.56872045869,0.001,0.15725
"82",-506.56872045869,1.251,0.15725
"83",-246.224390715957,2.501,0.15725
"84",-294.791301426339,3.751,0.15725
"85",-368.779574504586,5.001,0.15725
"86",-419.051283970088,6.251,0.15725
"87",-448.757267716285,7.501,0.15725
"88",-464.173193032338,8.751,0.15725
"89",-476.34499727636,10.001,0.15725
"90",-480.757781704358,11.251,0.15725
"91",-484.050294022239,12.501,0.15725
"92",-489.051116544976,13.751,0.15725
"93",-486.266083917183,15.001,0.15725
"94",-486.466072157493,16.251,0.15725
"95",-487.058941554313,17.501,0.15725
"96",-487.797552513683,18.751,0.15725
"97",-506.56872045869,0.001,0.1885
"98",-397.664754275137,1.251,0.1885
"99",-251.783871722351,2.501,0.1885
"100",-337.736599101449,3.751,0.1885
"101",-409.291978475495,5.001,0.1885
"102",-449.521871814538,6.251,0.1885
"103",-466.188199289002,7.501,0.1885
"104",-476.917747071659,8.751,0.1885
"105",-481.371584926601,10.001,0.1885
"106",-485.82171444832,11.251,0.1885
"107",-485.570359723087,12.501,0.1885
"108",-485.66650969466,13.751,0.1885
"109",-486.541608314895,15.001,0.1885
"110",-487.6236535823,16.251,0.1885
"111",-489.400051347972,17.501,0.1885
"112",-491.413509366983,18.751,0.1885
"113",-506.56872045869,0.001,0.21975
"114",-348.017573494361,1.251,0.21975
"115",-281.296005461797,2.501,0.21975
"116",-382.422167749103,3.751,0.21975
"117",-441.680684547809,5.001,0.21975
"118",-462.511804658137,6.251,0.21975
"119",-475.689748466699,7.501,0.21975
"120",-480.76676712262,8.751,0.21975
"121",-487.344711013215,10.001,0.21975
"122",-484.75613496412,11.251,0.21975
"123",-485.387800944866,12.501,0.21975
"124",-486.532294536677,13.751,0.21975
"125",-488.448756636487,15.001,0.21975
"126",-491.182335585893,16.251,0.21975
"127",-493.69897790144,17.501,0.21975
"128",-496.454441375291,18.751,0.21975
"129",-506.56872045869,0.001,0.251
"130",-301.385438848028,1.251,0.251
"131",-306.944007383424,2.501,0.251
"132",-406.546575481887,3.751,0.251
"133",-452.924210466017,5.001,0.251
"134",-472.962641305712,6.251,0.251
"135",-478.790846277164,7.501,0.251
"136",-485.001068698867,8.751,0.251
"137",-483.926248393785,10.001,0.251
"138",-484.792743304554,11.251,0.251
"139",-486.649695529252,12.501,0.251
"140",-488.971419062169,13.751,0.251
"141",-491.921043170476,15.001,0.251
"142",-495.041442855086,16.251,0.251
"143",-497.930790690934,17.501,0.251
"144",-500.734049936725,18.751,0.251
"145",-506.56872045869,0.001,0.28225
"146",-265.642907592521,1.251,0.28225
"147",-335.826957573275,2.501,0.28225
"148",-427.370584324261,3.751,0.28225
"149",-463.238194010143,5.001,0.28225
"150",-475.513686979039,6.251,0.28225
"151",-481.255256719718,7.501,0.28225
"152",-482.925572392365,8.751,0.28225
"153",-483.975538919527,10.001,0.28225
"154",-485.998435601441,11.251,0.28225
"155",-488.902330144402,12.501,0.28225
"156",-491.987502663707,13.751,0.28225
"157",-495.297893130635,15.001,0.28225
"158",-498.264121334351,16.251,0.28225
"159",-500.942976217567,17.501,0.28225
"160",-503.207196215463,18.751,0.28225
"161",-506.56872045869,0.001,0.3135
"162",-251.772909260537,1.251,0.3135
"163",-363.653275091117,2.501,0.3135
"164",-442.638328065421,3.751,0.3135
"165",-470.739145391199,5.001,0.3135
"166",-477.41228628921,6.251,0.3135
"167",-482.051213560383,7.501,0.3135
"168",-482.764434119653,8.751,0.3135
"169",-484.77869499206,10.001,0.3135
"170",-487.898510189644,11.251,0.3135
"171",-491.476320980757,12.501,0.3135
"172",-494.924104102741,13.751,0.3135
"173",-497.865524687391,15.001,0.3135
"174",-500.450399093403,16.251,0.3135
"175",-502.647422352775,17.501,0.3135
"176",-504.290795897759,18.751,0.3135
"177",-506.56872045869,0.001,0.34475
"178",-248.696210000167,1.251,0.34475
"179",-390.582750370497,2.501,0.34475
"180",-453.34470646011,3.751,0.34475
"181",-472.254497877728,5.001,0.34475
"182",-479.200511652893,6.251,0.34475
"183",-481.42314254101,7.501,0.34475
"184",-483.246344575278,8.751,0.34475
"185",-486.250701298307,10.001,0.34475
"186",-489.824854164752,11.251,0.34475
"187",-493.751725444979,12.501,0.34475
"188",-496.826570616323,13.751,0.34475
"189",-499.264991567952,15.001,0.34475
"190",-501.533239723109,16.251,0.34475
"191",-503.124256428603,17.501,0.34475
"192",-504.431886255294,18.751,0.34475
"193",-506.56872045869,0.001,0.376
"194",-254.956467079993,1.251,0.376
"195",-400.526998026367,2.501,0.376
"196",-464.887489283121,3.751,0.376
"197",-473.447420107132,5.001,0.376
"198",-484.594378745154,6.251,0.376
"199",-481.320284062295,7.501,0.376
"200",-484.037746193859,8.751,0.376
"201",-487.77212868362,10.001,0.376
"202",-491.599903110657,11.251,0.376
"203",-494.992873207855,12.501,0.376
"204",-497.779601683678,13.751,0.376
"205",-499.955614975273,15.001,0.376
"206",-501.556598363331,16.251,0.376
"207",-502.984609454285,17.501,0.376
"208",-504.016221197098,18.751,0.376
"209",-506.56872045869,0.001,0.40725
"210",-270.846262966434,1.251,0.40725
"211",-412.520328820114,2.501,0.40725
"212",-466.462703726578,3.751,0.40725
"213",-474.388017845756,5.001,0.40725
"214",-479.523964960566,6.251,0.40725
"215",-481.531398559644,7.501,0.40725
"216",-485.131745458753,8.751,0.40725
"217",-489.117003734046,10.001,0.40725
