"","x"
"Sim.SPA",0.0470742446909634
"Sim.SPJ",0.0272328233846752
"Data.SPA",0.0867048114467005
"Data.SPJ",0.106079524880485
"Beta",2.14031911384515
"Rho",0.0090210979560879
"MLL",11.7172585880687
