"","V1","V2","V3"
"1",-506.56872045869,0.001,0.001
"2",-506.56872045869,1.251,0.001
"3",-506.56872045869,2.501,0.001
"4",-506.56872045869,3.751,0.001
"5",-506.56872045869,5.001,0.001
"6",-506.56872045869,6.251,0.001
"7",-506.56872045869,7.501,0.001
"8",-506.56872045869,8.751,0.001
"9",-506.56872045869,10.001,0.001
"10",-506.56872045869,11.251,0.001
"11",-506.56872045869,12.501,0.001
"12",-506.56872045869,13.751,0.001
"13",-506.56872045869,15.001,0.001
"14",-506.56872045869,16.251,0.001
"15",-506.56872045869,17.501,0.001
"16",-506.56872045869,18.751,0.001
"17",-506.56872045869,0.001,0.03225
"18",-506.56872045869,1.251,0.03225
"19",-506.56872045869,2.501,0.03225
"20",-506.56872045869,3.751,0.03225
"21",-506.56872045869,5.001,0.03225
"22",-506.56872045869,6.251,0.03225
"23",-506.56872045869,7.501,0.03225
"24",-322.431264416262,8.751,0.03225
"25",-506.56872045869,10.001,0.03225
"26",-250.754119166706,11.251,0.03225
"27",-239.655938285486,12.501,0.03225
"28",-234.691076466489,13.751,0.03225
"29",-238.301292287818,15.001,0.03225
"30",-245.901587372092,16.251,0.03225
"31",-256.646260400925,17.501,0.03225
"32",-270.74782064444,18.751,0.03225
"33",-506.56872045869,0.001,0.0635
"34",-506.56872045869,1.251,0.0635
"35",-506.56872045869,2.501,0.0635
"36",-506.56872045869,3.751,0.0635
"37",-292.236040137759,5.001,0.0635
"38",-238.251684067724,6.251,0.0635
"39",-237.19626678577,7.501,0.0635
"40",-254.235657284959,8.751,0.0635
"41",-283.371662712406,10.001,0.0635
"42",-316.266925825086,11.251,0.0635
"43",-352.83348259343,12.501,0.0635
"44",-379.971462959467,13.751,0.0635
"45",-403.056943836193,15.001,0.0635
"46",-424.362416993364,16.251,0.0635
"47",-438.607448427636,17.501,0.0635
"48",-448.653566130926,18.751,0.0635
"49",-506.56872045869,0.001,0.09475
"50",-506.56872045869,1.251,0.09475
"51",-399.977770000726,2.501,0.09475
"52",-258.19090278807,3.751,0.09475
"53",-236.598826681975,5.001,0.09475
"54",-271.313743666836,6.251,0.09475
"55",-313.137057278226,7.501,0.09475
"56",-371.69877613308,8.751,0.09475
"57",-400.782680925025,10.001,0.09475
"58",-433.363789717369,11.251,0.09475
"59",-447.269788814339,12.501,0.09475
"60",-463.706335535242,13.751,0.09475
"61",-469.352669756042,15.001,0.09475
"62",-477.952665067602,16.251,0.09475
"63",-480.433646884966,17.501,0.09475
"64",-483.001856420377,18.751,0.09475
"65",-506.56872045869,0.001,0.126
"66",-506.56872045869,1.251,0.126
"67",-298.682721316915,2.501,0.126
"68",-236.817463769211,3.751,0.126
"69",-281.968765209384,5.001,0.126
"70",-349.504605045622,6.251,0.126
"71",-398.287154691873,7.501,0.126
"72",-434.004328189978,8.751,0.126
"73",-455.378896606853,10.001,0.126
"74",-468.455189283299,11.251,0.126
"75",-481.435080387943,12.501,0.126
"76",-480.924311205929,13.751,0.126
"77",-483.786400656026,15.001,0.126
"78",-487.080751053341,16.251,0.126
"79",-491.573885601182,17.501,0.126
"80",-487.352833399441,18.751,0.126
"81",-506.56872045869,0.001,0.15725
"82",-506.56872045869,1.251,0.15725
"83",-243.944203558184,2.501,0.15725
"84",-270.025799657451,3.751,0.15725
"85",-347.91835387908,5.001,0.15725
"86",-407.109139847917,6.251,0.15725
"87",-449.188602569203,7.501,0.15725
"88",-464.360116220985,8.751,0.15725
"89",-480.611722906395,10.001,0.15725
"90",-480.596055415834,11.251,0.15725
"91",-484.031573319316,12.501,0.15725
"92",-490.1165628371,13.751,0.15725
"93",-486.340029546138,15.001,0.15725
"94",-486.542481278876,16.251,0.15725
"95",-486.956904601734,17.501,0.15725
"96",-487.873636147255,18.751,0.15725
"97",-506.56872045869,0.001,0.1885
"98",-394.601643398993,1.251,0.1885
"99",-237.8579163081,2.501,0.1885
"100",-313.351362966462,3.751,0.1885
"101",-395.08762473853,5.001,0.1885
"102",-444.568064673669,6.251,0.1885
"103",-466.177339603625,7.501,0.1885
"104",-477.007500013141,8.751,0.1885
"105",-481.458100152214,10.001,0.1885
"106",-485.904236998273,11.251,0.1885
"107",-485.46221347045,12.501,0.1885
"108",-485.810517209743,13.751,0.1885
"109",-486.306251009306,15.001,0.1885
"110",-487.743317223256,16.251,0.1885
"111",-489.253095672064,17.501,0.1885
"112",-491.362698918202,18.751,0.1885
"113",-506.56872045869,0.001,0.21975
"114",-352.562774181065,1.251,0.21975
"115",-255.214739151586,2.501,0.21975
"116",-362.764212048092,3.751,0.21975
"117",-433.701767973171,5.001,0.21975
"118",-463.54442083135,6.251,0.21975
"119",-475.86242987895,7.501,0.21975
"120",-480.711768959684,8.751,0.21975
"121",-486.647788327397,10.001,0.21975
"122",-484.838903170446,11.251,0.21975
"123",-485.28273449225,12.501,0.21975
"124",-486.577836963992,13.751,0.21975
"125",-488.422526371264,15.001,0.21975
"126",-491.083492948137,16.251,0.21975
"127",-493.64198294255,17.501,0.21975
"128",-496.402303849733,18.751,0.21975
"129",-506.56872045869,0.001,0.251
"130",-308.572295995687,1.251,0.251
"131",-281.563689478481,2.501,0.251
"132",-391.665026237736,3.751,0.251
"133",-449.569783366485,5.001,0.251
"134",-473.044891347584,6.251,0.251
"135",-478.829094093691,7.501,0.251
"136",-484.662158883641,8.751,0.251
"137",-483.887760713348,10.001,0.251
"138",-484.801532254014,11.251,0.251
"139",-486.524899094456,12.501,0.251
"140",-489.160422479648,13.751,0.251
"141",-491.803208309341,15.001,0.251
"142",-494.978935173925,16.251,0.251
"143",-497.978076991738,17.501,0.251
"144",-500.637076560251,18.751,0.251
"145",-506.56872045869,0.001,0.28225
"146",-270.158271123895,1.251,0.28225
"147",-312.247463206132,2.501,0.28225
"148",-417.417889562213,3.751,0.28225
"149",-462.852267435973,5.001,0.28225
"150",-475.491366361757,6.251,0.28225
"151",-481.327784522736,7.501,0.28225
"152",-482.947555606828,8.751,0.28225
"153",-483.958613999812,10.001,0.28225
"154",-485.867458575547,11.251,0.28225
"155",-488.888808498067,12.501,0.28225
"156",-492.158082611546,13.751,0.28225
"157",-495.394620282412,15.001,0.28225
"158",-498.231633523227,16.251,0.28225
"159",-500.994516373258,17.501,0.28225
"160",-503.083353692281,18.751,0.28225
"161",-506.56872045869,0.001,0.3135
"162",-248.343502274928,1.251,0.3135
"163",-342.042805452996,2.501,0.3135
"164",-435.762876427282,3.751,0.3135
"165",-475.260070776217,5.001,0.3135
"166",-477.478613272142,6.251,0.3135
"167",-482.075411151576,7.501,0.3135
"168",-482.824364454388,8.751,0.3135
"169",-484.835216759082,10.001,0.3135
"170",-487.823358438179,11.251,0.3135
"171",-491.31025754665,12.501,0.3135
"172",-494.67097952481,13.751,0.3135
"173",-497.850671212151,15.001,0.3135
"174",-500.542923161187,16.251,0.3135
"175",-502.674524223188,17.501,0.3135
"176",-504.354594534251,18.751,0.3135
"177",-506.56872045869,0.001,0.34475
"178",-240.694257911488,1.251,0.34475
"179",-368.147006141668,2.501,0.34475
"180",-449.062942501533,3.751,0.34475
"181",-472.216637735814,5.001,0.34475
"182",-479.298286164473,6.251,0.34475
"183",-481.421816455433,7.501,0.34475
"184",-483.128508146657,8.751,0.34475
"185",-486.242774184728,10.001,0.34475
"186",-490.023833932677,11.251,0.34475
"187",-493.570493461481,12.501,0.34475
"188",-496.725912628379,13.751,0.34475
"189",-499.264861895071,15.001,0.34475
"190",-501.495498958367,16.251,0.34475
"191",-503.182959181543,17.501,0.34475
"192",-504.471191626563,18.751,0.34475
"193",-506.56872045869,0.001,0.376
"194",-241.289917241587,1.251,0.376
"195",-384.948889736591,2.501,0.376
"196",-456.914077136014,3.751,0.376
"197",-477.852551571711,5.001,0.376
"198",-484.797332892423,6.251,0.376
"199",-481.257145304294,7.501,0.376
"200",-484.10761787913,8.751,0.376
"201",-487.733839178476,10.001,0.376
"202",-491.56563991991,11.251,0.376
"203",-494.959352749822,12.501,0.376
"204",-497.777618933398,13.751,0.376
"205",-499.922903697817,15.001,0.376
"206",-501.659315621277,16.251,0.376
"207",-502.868591255136,17.501,0.376
"208",-503.953257411325,18.751,0.376
"209",-506.56872045869,0.001,0.40725
"210",-251.061074364941,1.251,0.40725
"211",-399.238583038327,2.501,0.40725
"212",-464.007343751046,3.751,0.40725
"213",-474.480296949002,5.001,0.40725
"214",-479.514281115481,6.251,0.40725
"215",-481.503985655252,7.501,0.40725
"216",-485.184705763627,8.751,0.40725
"217",-489.050553286294,10.001,0.40725
