"X1","X2","X3","X4","X5"
128.32,NA,0.961720460254294,1,0
12983.675,NA,NA,1,0
25817.25,NA,NA,1,0
38693.395,NA,NA,1,0
51551.755,0.0101281876724407,60.9961567450556,1,0.015
64428.2,0.00947430092202024,58.6252808613853,1,0.02
77263.635,0.010816228178958,59.6046289373494,1,0.02
90157.775,0.0109613367947774,60.5487878842653,1,0.055
102998.305,0.0122644425960436,60.5897373884167,1,0.05
116021.65,0.0115210146470696,57.5417707853039,1,0.095
128875.97,0.0116969175469038,58.0535705440016,1,0.075
141765.93,0.0113103581989801,59.212777542348,1,0.1
154889.985,0.0106860243119649,59.2729870969697,1,0.16
167710.67,0.0113402135161953,58.9695298530317,1,0.145
180611.65,0.0120718183023083,59.1879768098532,1,0.14
193604.835,0.0117942297729979,59.8264828268612,1,0.175
206722.825,0.0110429910278752,58.8861549972375,1,0.22
219488.435,0.0118218972477738,59.1163412325549,1,0.185
232648.25,0.0118759073294823,59.3917190631125,1,0.235
245820.53,0.0124857328309842,59.335409901722,1,0.285
258625.8,0.0123692964023706,59.3692020351599,1,0.27
272021.935,0.012254796571598,59.4122474081118,1,0.34
284739.28,0.0118134398825009,59.5518760961882,1,0.3
297416.69,0.0116535901148819,59.542207157566,1,0.265
310647.9,0.0121764361143532,59.4625002346601,1,0.315
323805.575,0.0123012906964073,59.4689080601714,1,0.345
336824.31,0.012019058765478,59.2691488711157,1,0.345
349788.17,0.0126630890687688,59.6485424364801,1,0.35
363234.44,0.0124044232744813,59.7158214195371,1,0.405
376583.115,0.0118835668916384,59.4402829137473,1,0.455
389215.295,0.0122201567694481,59.6810636458904,1,0.42
402567.685,0.0123422929513235,59.7144465535665,1,0.465
414824.03,0.0124615080928844,59.7483166395872,1,0.39
428188.03,0.0119030463729353,59.4960085102255,1,0.425
441147.455,0.0123464881860192,59.7369081836504,1,0.425
455064.235,0.0120427247488844,59.7031078076323,1,0.515
467333.585,0.0122740506590864,59.8932842821221,1,0.455
480436.22,0.0123363351941459,59.5798118662706,1,0.46
492884.2,0.0123843060030355,59.7415251183717,1,0.425
506639.195,0.0116207869052878,59.3476931917829,1,0.48
519425.505,0.0115162781959307,59.5317039248401,1,0.455
532211.05,0.0119650595023786,59.5413138259494,1,0.445
545839.4,0.0122383988761882,59.7255277211224,1,0.51
558228.645,0.0119099428318028,59.6974507544246,1,0.455
571764.7,0.0118763394003215,59.5904028729713,1,0.49
584261.81,0.0120977100522957,59.6416577288922,1,0.455
597694.52,0.0122592565084083,59.5779866695808,1,0.49
611025.86,0.0119775661286046,59.5505695390668,1,0.515
623647.195,0.0121884312737987,59.4710591814135,1,0.495
636141.39,0.0123456420846979,59.7767188219967,1,0.465
650368.13,0.0120176844512486,59.5602287411621,1,0.545
662967.215,0.0119668217980959,59.4855783711449,1,0.515
675252.255,0.0120384197961585,59.5976167013173,1,0.47
688566.74,0.0119379937468742,59.6566405372962,1,0.495
702669.805,0.0121440967864812,59.5967293279891,1,0.565
714298.12,0.0118720564736486,59.7597422043439,1,0.47
727832.935,0.0124037156069678,59.7020746699887,1,0.515
740865,0.0117963406989702,59.7605861130262,1,0.51
754512.665,0.0117665237143039,59.6652999863451,1,0.555
767256.075,0.0118333012426974,59.6444840915692,1,0.54
780112.625,0.0122818739168666,59.7100631694108,1,0.53
794394.01,0.0123304075064919,59.6439647795632,1,0.595
805662.955,0.0122034872081428,59.8001951861555,1,0.505
819085.31,0.012006515342092,59.592288629825,1,0.525
831603.795,0.0121078686991722,59.8120870308863,1,0.505
845680.91,0.0122162127904428,59.6690323799433,1,0.555
857923.6,0.0123185178444212,59.6668570928386,1,0.52
872696.01,0.0120429305871205,59.6010394524501,1,0.61
885926.92,0.0123446205610809,59.8258791426881,1,0.63
898210.45,0.0125648422252178,59.5335879019192,1,0.585
911298.59,0.0118805168043154,59.4816500261888,1,0.59
924753.075,0.0121157732243017,59.7470463347041,1,0.61
936708.975,0.0121234428873931,59.7770970714022,1,0.56
949010.17,0.0116147323543108,59.6238662704188,1,0.525
963291.09,0.0122237680879359,59.7866483465684,1,0.585
975226.08,0.0120902070293958,59.6619375772933,1,0.535
989120.26,0.0121674430546575,59.5531633134136,1,0.575
1001952.845,0.0124733377738807,59.8016190552992,1,0.57
1014750.725,0.011993927349638,59.6983293802867,1,0.56
1028914.545,0.0120510508849662,59.6960531687703,1,0.61
1041615.04,0.012065002113323,59.761605468152,1,0.6
1052582.79,0.0119827139774562,59.6845958928957,1,0.51
1069078.595,0.0121435249922409,59.6642288709319,1,0.655
1080373.75,0.0120606558977042,59.6262125955423,1,0.585
1092156.86,0.012231438140112,59.6759753026132,1,0.535
1107488.185,0.0119277654436351,59.691870431332,1,0.63
1119214.235,0.0121019176186391,59.7707309435981,1,0.58
1130755.395,0.0120313351902592,59.7532924122114,1,0.52
1145440.605,0.0121391232867044,59.68808415824,1,0.585
1160399.96,0.0120152600309174,59.6989979006333,1,0.66
1172479.9,0.0124364628544116,59.8788043255379,1,0.625
1184307.865,0.0122335068641001,59.7852562912558,1,0.58
1199179.56,0.0123569936574253,59.6660003373359,1,0.65
1211020.105,0.0121219370493912,59.6493385554663,1,0.6
1223729.255,0.0121636326610102,59.6454495497226,1,0.595
1236379.065,0.0121538723846727,59.7614204153449,1,0.58
1249922.1,0.0121384170664835,59.8054335434084,1,0.595
1264307.21,0.0120847139376464,59.7492525153108,1,0.65
1276339.675,0.0119846039144399,59.8999171065336,1,0.615
1287462.065,0.0120466948398927,59.5841770021096,1,0.545
